"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 06 11:40:07 GMT 2024","Tue Aug 06 11:40:08 GMT 2024","1314","","WebApiPart2.spec.js","","","","Login through Ui",""
"passed","Tue Aug 06 11:39:14 GMT 2024","Tue Aug 06 11:39:21 GMT 2024","7457","","InterceptingCall.spec.js","","","","Put an order and verify",""
"passed","Tue Aug 06 11:39:06 GMT 2024","Tue Aug 06 11:39:07 GMT 2024","1633","","EggsUiBasicsTest.spec.js","","","","My first test",""
"passed","Tue Aug 06 11:39:21 GMT 2024","Tue Aug 06 11:39:29 GMT 2024","7497","","SecurityApiTest.spec.js","","","","Security test request intercept",""
"passed","Tue Aug 06 11:39:45 GMT 2024","Tue Aug 06 11:39:52 GMT 2024","6897","","WebApiPart1.spec.js","","","","Put an order and verify",""
"passed","Tue Aug 06 11:39:29 GMT 2024","Tue Aug 06 11:39:33 GMT 2024","4134","","SpecialLocators.spec.js","","","","Playwright Special locators",""
"passed","Tue Aug 06 11:39:52 GMT 2024","Tue Aug 06 11:40:07 GMT 2024","14866","","WebApiPart2.spec.js","","","","UI login and collect all data",""
"passed","Tue Aug 06 11:39:33 GMT 2024","Tue Aug 06 11:39:45 GMT 2024","11887","","UiLogin.spec.js","","","","@Web Client App login and make an order",""
"passed","Tue Aug 06 11:39:07 GMT 2024","Tue Aug 06 11:39:14 GMT 2024","6625","","EggsUiBasicsTest.spec.js","","","","My second test",""
